iter	Passed	Remaining
371	5005	8450
372	5017	8435
373	5031	8421
374	5042	8404
375	5056	8391
376	5069	8376
377	5081	8361
378	5094	8347
379	5107	8332
380	5119	8317
381	5132	8302
382	5145	8289
383	5158	8275
384	5172	8263
385	5186	8249
386	5198	8234
387	5212	8221
388	5224	8205
389	5237	8191
390	5250	8177
391	5263	8163
392	5274	8146
393	5286	8131
394	5298	8115
395	5311	8101
396	5324	8088
397	5338	8075
398	5352	8061
399	5364	8046
400	5376	8031
401	5389	8017
402	5401	8002
403	5414	7988
404	5431	7979
405	5444	7965
406	5457	7951
407	5470	7937
408	5483	7922
409	5495	7908
410	5506	7891
411	5520	7878
412	5533	7864
413	5545	7849
414	5558	7835
415	5571	7821
416	5584	7807
417	5597	7794
418	5609	7778
419	5622	7764
420	5635	7749
421	5646	7733
422	5659	7719
423	5669	7701
424	5682	7687
425	5694	7673
426	5706	7658
427	5719	7643
428	5732	7629
429	5746	7617
430	5757	7601
431	5772	7589
432	5785	7575
433	5797	7561
434	5809	7545
435	5821	7531
436	5834	7516
437	5847	7502
438	5861	7489
439	5874	7476
440	5886	7461
441	5899	7447
442	5912	7433
443	5924	7419
444	5937	7405
445	5950	7391
446	5961	7375
447	5975	7362
448	5989	7349
449	6001	7335
450	6015	7322
451	6028	7308
452	6040	7294
453	6053	7280
454	6064	7264
455	6077	7250
456	6090	7236
457	6102	7221
458	6115	7208
459	6128	7193
460	6140	7179
461	6152	7165
462	6165	7150
463	6179	7138
464	6192	7124
465	6204	7110
466	6215	7093
467	6227	7078
468	6239	7064
469	6252	7050
470	6265	7036
471	6278	7023
472	6291	7009
473	6305	6997
474	6318	6983
475	6332	6970
476	6345	6957
477	6356	6941
478	6369	6927
479	6381	6913
480	6395	6900
481	6408	6886
482	6423	6875
483	6436	6861
484	6448	6847
485	6462	6834
486	6474	6819
487	6487	6806
488	6499	6791
489	6512	6778
490	6525	6765
491	6539	6751
492	6552	6738
493	6563	6723
494	6577	6710
495	6591	6697
496	6604	6683
497	6617	6670
498	6630	6656
499	6643	6643
500	6657	6630
501	6670	6617
502	6681	6602
503	6695	6588
504	6708	6575
505	6722	6562
506	6733	6547
507	6746	6533
508	6758	6519
509	6770	6504
510	6782	6490
511	6795	6477
512	6809	6463
513	6821	6449
514	6832	6434
515	6845	6421
516	6857	6406
517	6868	6390
518	6881	6378
519	6893	6363
520	6906	6349
521	6920	6337
522	6933	6323
523	6945	6309
524	6958	6296
525	6972	6283
526	6983	6268
527	6997	6255
528	7009	6240
529	7021	6226
530	7034	6213
531	7047	6200
532	7058	6184
533	7071	6171
534	7085	6158
535	7097	6144
536	7109	6129
537	7121	6115
538	7133	6101
539	7145	6086
540	7158	6073
541	7171	6060
542	7183	6045
543	7196	6032
544	7208	6018
545	7221	6004
546	7233	5990
547	7245	5976
548	7259	5963
549	7271	5949
550	7283	5935
551	7294	5920
552	7307	5907
553	7320	5893
554	7332	5879
555	7345	5865
556	7358	5852
557	7370	5838
558	7382	5824
559	7395	5810
560	7408	5797
561	7425	5787
562	7438	5773
563	7450	5759
564	7463	5746
565	7476	5733
566	7490	5719
567	7502	5706
568	7514	5692
569	7526	5678
570	7538	5663
571	7551	5650
572	7562	5635
573	7576	5623
574	7588	5609
575	7600	5595
576	7613	5581
577	7625	5567
578	7636	5552
579	7648	5538
580	7661	5525
581	7674	5511
582	7686	5497
583	7699	5484
584	7711	5470
585	7723	5456
586	7734	5442
587	7747	5428
588	7760	5415
589	7773	5402
590	7786	5388
591	7798	5374
592	7812	5361
593	7825	5349
594	7837	5334
595	7851	5322
596	7865	5309
597	7878	5296
598	7890	5282
599	7904	5269
600	7917	5256
601	7929	5242
602	7939	5227
603	7952	5213
604	7965	5200
605	7977	5186
606	7990	5173
607	8003	5160
608	8017	5147
609	8030	5134
610	8043	5120
611	8055	5107
612	8069	5094
613	8082	5081
614	8095	5068
615	8107	5054
616	8120	5040
617	8133	5027
618	8146	5014
619	8159	5001
620	8170	4986
621	8183	4973
622	8196	4959
623	8208	4946
624	8221	4932
625	8234	4919
626	8246	4905
627	8259	4892
628	8273	4879
629	8287	4867
630	8300	4853
631	8313	4840
632	8325	4827
633	8338	4813
634	8351	4800
635	8364	4787
636	8377	4774
637	8390	4760
638	8401	4746
639	8415	4733
640	8431	4722
641	8444	4709
642	8458	4696
643	8471	4682
644	8484	4669
645	8496	4656
646	8509	4642
647	8522	4629
648	8535	4616
649	8548	4602
650	8560	4589
651	8572	4575
652	8585	4562
653	8598	4549
654	8608	4534
655	8620	4520
656	8632	4506
657	8643	4492
658	8656	4479
659	8667	4464
660	8678	4450
661	8691	4437
662	8705	4424
663	8718	4411
664	8732	4398
665	8745	4385
666	8758	4372
667	8771	4359
668	8784	4346
669	8797	4332
670	8808	4318
671	8821	4305
672	8835	4292
673	8848	4279
674	8860	4266
675	8872	4252
676	8885	4239
677	8898	4226
678	8912	4213
679	8924	4199
680	8937	4186
681	8949	4173
682	8962	4159
683	8976	4146
684	8990	4134
685	9002	4120
686	9015	4107
687	9028	4094
688	9039	4080
689	9052	4067
690	9065	4053
691	9077	4040
692	9088	4026
693	9101	4013
694	9114	3999
695	9126	3986
696	9139	3973
697	9153	3960
698	9165	3946
699	9178	3933
700	9191	3920
701	9201	3906
702	9213	3892
703	9227	3879
704	9238	3865
705	9252	3853
706	9266	3840
707	9279	3827
708	9292	3813
709	9304	3800
710	9317	3787
711	9328	3773
712	9341	3759
713	9352	3746
714	9365	3733
715	9378	3720
716	9389	3705
717	9401	3692
718	9413	3679
719	9428	3666
720	9441	3653
721	9452	3639
722	9465	3626
723	9476	3612
724	9488	3599
725	9502	3586
726	9514	3572
727	9527	3559
728	9541	3546
729	9555	3534
730	9567	3520
731	9579	3507
732	9591	3493
733	9603	3480
734	9614	3466
735	9626	3453
736	9639	3439
737	9652	3426
738	9665	3413
739	9678	3400
740	9692	3387
741	9706	3375
742	9720	3362
743	9732	3348
744	9743	3335
745	9756	3322
746	9769	3308
747	9781	3295
748	9795	3282
749	9807	3269
750	9822	3256
751	9835	3243
752	9849	3230
753	9862	3217
754	9875	3204
755	9888	3191
756	9901	3178
757	9913	3164
758	9926	3151
759	9940	3139
760	9952	3125
761	9966	3112
762	9979	3099
763	9992	3086
764	10005	3073
765	10018	3060
766	10031	3047
767	10044	3034
768	10058	3021
769	10071	3008
770	10084	2995
771	10098	2982
772	10110	2968
773	10120	2955
774	10133	2942
775	10146	2928
776	10157	2915
777	10170	2902
778	10183	2889
779	10197	2876
780	10209	2862
781	10221	2849
782	10234	2836
783	10247	2823
784	10260	2810
785	10272	2796
786	10284	2783
787	10297	2770
788	10310	2757
789	10323	2744
790	10336	2731
791	10349	2717
792	10362	2705
793	10375	2691
794	10389	2679
795	10403	2666
796	10415	2652
797	10430	2640
798	10442	2627
799	10456	2614
800	10468	2600
801	10481	2587
802	10494	2574
803	10507	2561
804	10522	2548
805	10533	2535
806	10545	2522
807	10559	2509
808	10572	2496
809	10585	2482
810	10597	2469
811	10611	2456
812	10621	2443
813	10634	2430
814	10647	2416
815	10660	2403
816	10673	2390
817	10686	2377
818	10697	2364
819	10711	2351
820	10724	2338
821	10738	2325
822	10750	2312
823	10763	2299
824	10777	2286
825	10790	2273
826	10805	2260
827	10819	2247
828	10831	2234
829	10843	2220
830	10854	2207
831	10865	2193
832	10875	2180
833	10888	2167
834	10901	2154
835	10914	2141
836	10927	2128
837	10940	2115
838	10954	2102
839	10966	2088
840	10980	2075
841	10992	2062
842	11005	2049
843	11017	2036
844	11030	2023
845	11042	2010
846	11055	1996
847	11068	1983
848	11081	1970
849	11095	1958
850	11107	1944
851	11119	1931
852	11132	1918
853	11144	1905
854	11157	1892
855	11170	1879
856	11182	1865
857	11194	1852
858	11207	1839
859	11219	1826
860	11233	1813
861	11246	1800
862	11259	1787
863	11272	1774
864	11286	1761
865	11297	1748
866	11311	1735
867	11323	1721
868	11335	1708
869	11349	1695
870	11361	1682
871	11374	1669
872	11387	1656
873	11400	1643
874	11414	1630
875	11430	1618
876	11442	1604
877	11456	1591
878	11469	1578
879	11480	1565
880	11493	1552
881	11507	1539
882	11520	1526
883	11533	1513
884	11547	1500
885	11560	1487
886	11573	1474
887	11585	1461
888	11597	1448
889	11610	1435
890	11624	1422
891	11636	1408
892	11648	1395
893	11661	1382
894	11675	1369
895	11688	1356
896	11701	1343
897	11715	1330
898	11728	1317
899	11740	1304
900	11752	1291
901	11764	1278
902	11776	1265
903	11790	1252
904	11804	1239
905	11817	1226
906	11829	1212
907	11842	1199
908	11856	1186
909	11869	1173
910	11881	1160
911	11894	1147
912	11905	1134
913	11916	1121
914	11929	1108
915	11942	1095
916	11956	1082
917	11969	1069
918	11982	1056
919	11995	1043
920	12007	1029
921	12021	1016
922	12034	1003
923	12045	990
924	12057	977
925	12068	964
926	12082	951
927	12094	938
928	12107	925
929	12120	912
930	12134	899
931	12145	886
932	12157	873
933	12169	859
934	12180	846
935	12193	833
936	12207	820
937	12220	807
938	12233	794
939	12244	781
940	12257	768
941	12268	755
942	12281	742
943	12294	729
944	12306	716
945	12320	703
946	12333	690
947	12346	677
948	12360	664
949	12373	651
950	12386	638
951	12396	625
952	12410	612
953	12423	599
954	12435	585
955	12448	572
956	12461	559
957	12471	546
958	12483	533
959	12494	520
960	12507	507
961	12521	494
962	12533	481
963	12546	468
964	12559	455
965	12571	442
966	12585	429
967	12597	416
968	12611	403
969	12622	390
970	12637	377
971	12651	364
972	12664	351
973	12676	338
974	12687	325
975	12698	312
976	12712	299
977	12725	286
978	12737	273
979	12748	260
980	12760	247
981	12775	234
982	12788	221
983	12802	208
984	12815	195
985	12829	182
986	12841	169
987	12854	156
988	12865	143
989	12879	130
990	12890	117
991	12902	104
992	12915	91
993	12925	78
994	12936	65
995	12948	52
996	12961	39
997	12972	25
998	12985	12
999	12997	0
