iter	MAE
127	317.8415777
128	317.7010414
129	317.6160631
130	317.4877892
131	317.3658658
132	317.2410775
133	317.1263905
134	317.0187734
135	316.9525758
136	316.8380772
137	316.7144213
138	316.6525647
139	316.5447443
140	316.4915063
141	316.3379299
142	316.1952034
143	316.0661632
144	315.9393764
145	315.819546
146	315.7203969
147	315.600811
148	315.5381691
149	315.3836162
150	315.2736134
151	315.1292642
152	315.063523
153	314.9591065
154	314.8741181
155	314.8196471
156	314.7584409
157	314.6909828
158	314.611362
159	314.4796853
160	314.4309673
161	314.3176806
162	314.2832339
163	314.1767555
164	314.1312998
165	314.0550809
166	313.9259073
167	313.8289561
168	313.7750291
169	313.7362599
170	313.6460462
171	313.5043169
172	313.4155229
173	313.3371116
174	313.2684849
175	313.1872228
176	313.0931794
177	313.0357566
178	312.9832816
179	312.9253526
180	312.8915247
181	312.7516181
182	312.6475834
183	312.5846643
184	312.5147201
185	312.4561533
186	312.3725681
187	312.3070042
188	312.2324713
189	312.1743351
190	312.079123
191	312.0133385
192	311.9480509
193	311.9171172
194	311.8517841
195	311.7848095
196	311.720923
197	311.6812644
198	311.5876336
199	311.5274191
200	311.4415822
201	311.363192
202	311.2683269
203	311.1722266
204	311.1314971
205	311.0501824
206	311.0135591
207	310.8755164
208	310.8141856
209	310.7389852
210	310.6727229
211	310.5453302
212	310.4773942
213	310.4023667
214	310.3355898
215	310.2638036
216	310.190847
217	310.1041258
218	310.0150185
219	309.8728604
220	309.8159075
221	309.6939653
222	309.643306
223	309.5363558
224	309.4743941
225	309.4109598
226	309.3679675
227	309.3227261
228	309.245259
229	309.1514328
230	309.0555031
231	308.9572355
232	308.8713242
233	308.7526345
234	308.6663791
235	308.6070718
236	308.5135845
237	308.3789107
238	308.3118509
239	308.24985
240	308.2128165
241	308.1690338
242	308.1158674
243	308.0757894
244	307.9683769
245	307.9179718
246	307.8512763
247	307.779889
248	307.69198
249	307.6100651
250	307.5510452
251	307.5066809
252	307.452068
253	307.3744107
254	307.3387666
255	307.2153956
256	307.0987224
257	306.9851891
258	306.9459254
259	306.8694636
260	306.7548994
261	306.6357974
262	306.5505828
263	306.478469
264	306.4166764
265	306.3294002
266	306.2660423
267	306.1751901
268	306.0811525
269	306.0140587
270	305.975955
271	305.8875061
272	305.8373258
273	305.766942
274	305.7083603
275	305.6372962
276	305.5462871
277	305.487827
278	305.4301762
279	305.3736696
280	305.2768412
281	305.2562942
282	305.2202206
283	305.1933693
284	305.0811613
285	305.0257745
286	304.9721392
287	304.9006189
288	304.8390105
289	304.7983722
290	304.704479
291	304.6633524
292	304.601107
293	304.511507
294	304.4850755
295	304.4158809
296	304.374297
297	304.3338091
298	304.2326563
299	304.1718015
300	304.1383071
301	304.0908555
302	303.9978522
303	303.9295607
304	303.8902188
305	303.8501981
306	303.8063919
307	303.7401679
308	303.6858193
309	303.6535181
310	303.5660317
311	303.5462186
312	303.4526008
313	303.3922712
314	303.3376352
315	303.2645366
316	303.2237351
317	303.15608
318	303.1219711
319	303.0126571
320	302.9930217
321	302.948064
322	302.9183199
323	302.8218406
324	302.7114145
325	302.691217
326	302.6136344
327	302.5482224
328	302.5126128
329	302.4392379
330	302.361539
331	302.2818928
332	302.2179202
333	302.1609869
334	302.0906881
335	302.019294
336	301.9266493
337	301.8674231
338	301.7924877
339	301.7449427
340	301.67324
341	301.5987161
342	301.5316453
343	301.4647913
344	301.4201897
345	301.3652386
346	301.3096748
347	301.2757928
348	301.2377585
349	301.1745913
350	301.119999
351	301.0851584
352	301.0639042
353	301.0489378
354	301.006365
355	300.9546952
356	300.9393297
357	300.911708
358	300.8757384
359	300.8223309
360	300.7137433
361	300.6714022
362	300.5748387
363	300.5253438
364	300.5009509
365	300.4603435
366	300.4230302
367	300.3615484
368	300.312677
369	300.2524282
370	300.1546682
371	300.1015201
372	300.0650031
373	300.0079504
374	299.9549024
375	299.8823808
376	299.8135327
377	299.7302827
378	299.7031356
379	299.6697094
380	299.5918042
381	299.5403572
382	299.5224482
383	299.4818526
384	299.4443015
385	299.4293128
386	299.4171012
387	299.3616703
388	299.2944881
389	299.2746444
390	299.2115197
391	299.1818255
392	299.0981577
393	299.0738268
394	298.9627019
395	298.9226125
396	298.8820029
397	298.8378088
398	298.755542
399	298.7140055
400	298.6725912
401	298.6405975
402	298.6167161
403	298.5832439
404	298.5511396
405	298.4546811
406	298.4054892
407	298.3907104
408	298.3638792
409	298.3009208
410	298.2134343
411	298.1365791
412	298.1026829
413	298.0095268
414	297.9598114
415	297.9162621
416	297.8970558
417	297.8455882
418	297.7893434
419	297.7496446
420	297.7095391
421	297.6349865
422	297.5798326
423	297.5243516
424	297.4594328
425	297.3781142
426	297.3458451
427	297.3023421
428	297.2780526
429	297.2104046
430	297.1810734
431	297.1358539
432	297.0835416
433	297.0137398
434	296.9862729
435	296.9529088
436	296.9040857
437	296.8698503
438	296.8394886
439	296.7979666
440	296.7215093
441	296.6530504
442	296.6168247
443	296.5497212
444	296.4940235
445	296.4334371
446	296.3417076
447	296.315456
448	296.2868587
449	296.2125979
450	296.1376724
451	296.0899155
452	296.0446467
453	295.9769737
454	295.9113317
455	295.8520176
456	295.7835096
457	295.7533807
458	295.7110593
459	295.6316036
460	295.60409
461	295.5837522
462	295.5279887
463	295.491561
464	295.4544037
465	295.4098146
466	295.378783
467	295.3374259
468	295.2673826
469	295.2298124
470	295.195331
471	295.1613909
472	295.1360326
473	295.1104299
474	295.0646452
475	295.0137664
476	294.9595373
477	294.9088329
478	294.8299431
479	294.7850257
480	294.7354708
481	294.7032419
482	294.6748146
483	294.6053317
484	294.537573
485	294.5057021
486	294.4595978
487	294.4341838
488	294.3804369
489	294.3090865
490	294.2862108
491	294.251112
492	294.2043386
493	294.1567018
494	294.1415418
495	294.0757701
496	294.0474204
497	293.9902647
498	293.9375449
499	293.905764
500	293.8621902
501	293.7702981
502	293.7282148
503	293.7124019
504	293.6809468
505	293.6345085
506	293.5529758
507	293.4872232
508	293.4288401
509	293.3722649
510	293.3103822
511	293.2361663
512	293.1896153
513	293.1533497
514	293.066241
515	293.0240539
516	292.9999663
517	292.9313693
518	292.8595723
519	292.8122577
520	292.7569651
521	292.7048003
522	292.6534713
523	292.5714488
524	292.5488657
525	292.5214843
526	292.4519915
527	292.3946646
528	292.3110277
529	292.2709784
530	292.2477131
531	292.2134361
532	292.1578272
533	292.1162988
534	292.0643443
535	291.9989953
536	291.9627163
537	291.9211499
538	291.8852399
539	291.8454745
540	291.8124208
541	291.7679586
542	291.6968642
543	291.6638145
544	291.6094346
545	291.5605715
546	291.4811396
547	291.4085822
548	291.3791849
549	291.3286871
550	291.2594926
551	291.2341132
552	291.1849851
553	291.1332061
554	291.071042
555	291.0211427
556	290.9624855
557	290.9165076
558	290.8524167
559	290.8402263
560	290.7972084
561	290.7374901
562	290.679644
563	290.6362861
564	290.6213959
565	290.5633116
566	290.5424976
567	290.5134098
568	290.4936094
569	290.4618153
570	290.4479791
571	290.4190022
572	290.3783553
573	290.3381849
574	290.3098187
575	290.2883994
576	290.2361069
577	290.2056297
578	290.1469556
579	290.0718345
580	290.0579669
581	290.009941
582	289.98873
583	289.9349503
584	289.8994986
585	289.8256813
586	289.8111135
587	289.7587533
588	289.7365225
589	289.7059153
590	289.6524436
591	289.6143504
592	289.5659633
593	289.5529408
594	289.5181547
595	289.502312
596	289.4512802
597	289.427855
598	289.4061523
599	289.3631363
600	289.3231502
601	289.2684767
602	289.2211982
603	289.2107556
604	289.1704948
605	289.1180831
606	289.0937372
607	289.0761041
608	289.0578477
609	289.0274146
610	289.0063371
611	288.9929561
612	288.9662302
613	288.9425968
614	288.9308004
615	288.8855205
616	288.8368563
617	288.8184143
618	288.7760366
619	288.7386747
620	288.7151499
621	288.7050316
622	288.6850822
623	288.6371137
624	288.583466
625	288.5600337
626	288.4919358
627	288.4641669
628	288.422397
629	288.3691272
630	288.3428662
631	288.3186435
632	288.3003971
633	288.2762655
634	288.2219979
635	288.1908993
636	288.1515528
637	288.1253438
638	288.0634122
639	288.0480168
640	287.9998894
641	287.9854118
642	287.9585756
643	287.9299022
644	287.8868103
645	287.8332997
646	287.7702072
647	287.758909
648	287.7191724
649	287.6591339
650	287.6247453
651	287.5737535
652	287.5136425
653	287.5006562
654	287.4823996
655	287.4512822
656	287.4302776
657	287.4189586
658	287.3675738
659	287.3067594
660	287.2578964
661	287.2141595
662	287.20105
663	287.185845
664	287.1765342
665	287.1478118
666	287.0964976
667	287.0642809
668	287.0483518
669	287.0024872
670	286.9412787
671	286.8977775
672	286.8825036
673	286.8036523
674	286.7437581
675	286.7298886
676	286.697905
677	286.6819755
678	286.6731084
679	286.624494
680	286.6015752
681	286.5365067
682	286.4796317
683	286.4694098
684	286.4475321
685	286.4313596
686	286.4001285
687	286.3620246
688	286.3369204
689	286.3164021
690	286.2584367
691	286.2381806
692	286.218366
693	286.183619
694	286.1406102
695	286.1141709
696	286.07742
697	286.0521182
698	286.0198611
699	285.9855612
700	285.958781
701	285.9057814
702	285.8838861
703	285.8279889
704	285.7583647
705	285.7242326
706	285.687629
707	285.6484497
708	285.577731
709	285.5223974
710	285.4761602
711	285.4513546
712	285.3870818
713	285.3241174
714	285.2894306
715	285.2617535
716	285.2261554
717	285.1771636
718	285.1549839
719	285.105112
720	285.0786484
721	285.050969
722	285.0175682
723	284.9792849
724	284.9479713
725	284.9119464
726	284.8753307
727	284.865658
728	284.8316839
729	284.8143296
730	284.7937225
731	284.7466492
732	284.7164335
733	284.6432883
734	284.6188465
735	284.5596157
736	284.5364077
737	284.5149995
738	284.4669849
739	284.4318097
740	284.4032213
741	284.3797649
742	284.3537241
743	284.2869844
744	284.2482451
745	284.2203224
746	284.1765744
747	284.1413343
748	284.1183809
749	284.0653936
750	284.0009591
751	283.9874692
752	283.9602881
753	283.9436695
754	283.937671
755	283.9152975
756	283.897527
757	283.8467761
758	283.8255078
759	283.813344
760	283.7887853
761	283.7635601
762	283.7451292
763	283.7060586
764	283.6554901
765	283.6454731
766	283.6225264
767	283.6038773
768	283.5873875
769	283.5545624
770	283.5448374
771	283.536363
772	283.4823271
773	283.4470885
774	283.4140311
775	283.3582192
776	283.3093002
777	283.2946128
778	283.2556176
779	283.2359409
780	283.1868458
781	283.168005
782	283.1353645
783	283.1172484
784	283.0741326
785	283.0211294
786	282.9960519
787	282.9596818
788	282.9372896
789	282.9102562
790	282.8784687
791	282.867112
792	282.8175692
793	282.7902849
794	282.7783551
795	282.7342383
796	282.6717196
797	282.6442959
798	282.5997475
799	282.5795981
800	282.5436721
801	282.5169651
802	282.5038002
803	282.4651646
804	282.4449904
805	282.4086551
806	282.3707249
807	282.355965
808	282.3463658
809	282.3165556
810	282.2676553
811	282.236782
812	282.1603332
813	282.1155985
814	282.0800975
815	282.0615966
816	282.04006
817	282.0143621
818	281.9661343
819	281.9476496
820	281.9200136
821	281.8864282
822	281.8269381
823	281.7732986
824	281.7391807
825	281.7124894
826	281.6963651
827	281.6449494
828	281.5994807
829	281.5832793
830	281.5585247
831	281.5356207
832	281.5231313
833	281.5016629
834	281.4554635
835	281.4307583
836	281.4263864
837	281.4136302
838	281.3774096
839	281.3497028
840	281.3221925
841	281.2727928
842	281.2195408
843	281.2140229
844	281.2059574
845	281.1795741
846	281.1493368
847	281.1320385
848	281.1269444
849	281.1078591
850	281.0834553
851	281.0481529
852	281.0318535
853	281.0218281
854	280.9825394
855	280.9406271
856	280.9049898
857	280.8742032
858	280.8450818
859	280.8138776
860	280.801333
861	280.796236
862	280.7578502
863	280.7262498
864	280.6998563
865	280.6768397
866	280.6610637
867	280.6153977
868	280.5412686
869	280.5197446
870	280.4756217
871	280.4519992
872	280.4197045
873	280.4012808
874	280.3925264
875	280.3794808
876	280.3656278
877	280.3328614
878	280.2956215
879	280.2702742
880	280.2611537
881	280.2443217
882	280.2005588
883	280.1563037
884	280.1349739
885	280.1084098
886	280.0641648
887	280.0419308
888	279.9775791
889	279.9456261
890	279.9235317
891	279.9032051
892	279.8699932
893	279.8296232
894	279.8096726
895	279.7851735
896	279.7685545
897	279.7314055
898	279.7119058
899	279.6865387
900	279.6423202
901	279.5999502
902	279.5626481
903	279.5155264
904	279.4642043
905	279.4410208
906	279.3862605
907	279.3668852
908	279.3477538
909	279.2759567
910	279.2106133
911	279.162915
912	279.1122765
913	279.0727685
914	279.043279
915	279.0114501
916	278.9941789
917	278.959189
918	278.9340578
919	278.8991624
920	278.854076
921	278.8488887
922	278.8337897
923	278.7775648
924	278.7254876
925	278.6858222
926	278.6789032
927	278.6506878
928	278.5967273
929	278.572156
930	278.5603501
931	278.5011002
932	278.479638
933	278.4202273
934	278.4113858
935	278.3370398
936	278.3137857
937	278.3032835
938	278.2789082
939	278.2563147
940	278.1968477
941	278.1702533
942	278.1475566
943	278.0898987
944	278.03845
945	277.9944982
946	277.9713015
947	277.9349618
948	277.9060812
949	277.8983182
950	277.8305317
951	277.822714
952	277.7929212
953	277.7638072
954	277.7393909
955	277.7056434
956	277.6855344
957	277.6611805
958	277.6149426
959	277.5681907
960	277.5344454
961	277.5064048
962	277.4839319
963	277.4481446
964	277.4307673
965	277.3828189
966	277.3602866
967	277.3337172
968	277.3215697
969	277.316643
970	277.293018
971	277.2608977
972	277.2415495
973	277.1965237
974	277.171111
975	277.1390086
976	277.107261
977	277.0561611
978	277.0291041
979	277.0071122
980	276.9910726
981	276.9847509
982	276.9704133
983	276.9531541
984	276.9367293
985	276.9240696
986	276.8684929
987	276.8642741
988	276.8061331
989	276.7725236
990	276.7563776
991	276.7334459
992	276.7026551
993	276.6637557
994	276.6299309
995	276.5857022
996	276.5710395
997	276.5566993
998	276.5436903
999	276.4905711
